
 check frequency: 0, call frequency: 1, raise frequency: 0, fold frequency: 0
 check frequency: 0.06140350877192982, call frequency: 0.2543859649122807, raise frequency: 0.20175438596491227, fold frequency: 0.4824561403508772
 check frequency: 0.06086956521739131, call frequency: 0.2608695652173913, raise frequency: 0.2, fold frequency: 0.4782608695652174
 check frequency: 0.06896551724137931, call frequency: 0.25862068965517243, raise frequency: 0.19827586206896552, fold frequency: 0.47413793103448276
 check frequency: 0.06837606837606838, call frequency: 0.26495726495726496, raise frequency: 0.19658119658119658, fold frequency: 0.4700854700854701
 check frequency: 0.07627118644067797, call frequency: 0.2627118644067797, raise frequency: 0.19491525423728814, fold frequency: 0.4661016949152542
 check frequency: 0.08403361344537816, call frequency: 0.2605042016806723, raise frequency: 0.19327731092436976, fold frequency: 0.46218487394957986
 check frequency: 0.08333333333333333, call frequency: 0.25833333333333336, raise frequency: 0.2, fold frequency: 0.4583333333333333
 check frequency: 0.08264462809917356, call frequency: 0.256198347107438, raise frequency: 0.19834710743801653, fold frequency: 0.4628099173553719
 check frequency: 0.08196721311475409, call frequency: 0.2540983606557377, raise frequency: 0.19672131147540983, fold frequency: 0.4672131147540984
 check frequency: 0.08130081300813008, call frequency: 0.25203252032520324, raise frequency: 0.1951219512195122, fold frequency: 0.4715447154471545
 check frequency: 0.08064516129032258, call frequency: 0.25, raise frequency: 0.1935483870967742, fold frequency: 0.47580645161290325
 check frequency: 0.08, call frequency: 0.248, raise frequency: 0.192, fold frequency: 0.48
 check frequency: 0.07936507936507936, call frequency: 0.24603174603174602, raise frequency: 0.19047619047619047, fold frequency: 0.48412698412698413
 check frequency: 0.07874015748031496, call frequency: 0.25196850393700787, raise frequency: 0.1889763779527559, fold frequency: 0.48031496062992124
 check frequency: 0.078125, call frequency: 0.2578125, raise frequency: 0.1875, fold frequency: 0.4765625
 check frequency: 0.07751937984496124, call frequency: 0.26356589147286824, raise frequency: 0.18604651162790697, fold frequency: 0.4728682170542636
 check frequency: 0.07692307692307693, call frequency: 0.26153846153846155, raise frequency: 0.19230769230769232, fold frequency: 0.46923076923076923
 check frequency: 0.07633587786259542, call frequency: 0.2595419847328244, raise frequency: 0.19083969465648856, fold frequency: 0.4732824427480916
 check frequency: 0.07575757575757576, call frequency: 0.26515151515151514, raise frequency: 0.1893939393939394, fold frequency: 0.4696969696969697
 check frequency: 0.07518796992481203, call frequency: 0.2706766917293233, raise frequency: 0.18796992481203006, fold frequency: 0.46616541353383456
 check frequency: 0.07462686567164178, call frequency: 0.26865671641791045, raise frequency: 0.1865671641791045, fold frequency: 0.4701492537313433
 check frequency: 0.07407407407407407, call frequency: 0.26666666666666666, raise frequency: 0.18518518518518517, fold frequency: 0.4740740740740741
 check frequency: 0.07352941176470588, call frequency: 0.2647058823529412, raise frequency: 0.18382352941176472, fold frequency: 0.47794117647058826
 check frequency: 0.072992700729927, call frequency: 0.26277372262773724, raise frequency: 0.18248175182481752, fold frequency: 0.48175182481751827
 check frequency: 0.07246376811594203, call frequency: 0.2608695652173913, raise frequency: 0.18115942028985507, fold frequency: 0.4855072463768116
 check frequency: 0.07194244604316546, call frequency: 0.2589928057553957, raise frequency: 0.17985611510791366, fold frequency: 0.4892086330935252
 check frequency: 0.07142857142857142, call frequency: 0.2571428571428571, raise frequency: 0.17857142857142858, fold frequency: 0.4928571428571429
 check frequency: 0.07092198581560284, call frequency: 0.2553191489361702, raise frequency: 0.1773049645390071, fold frequency: 0.49645390070921985
 check frequency: 0.07042253521126761, call frequency: 0.2535211267605634, raise frequency: 0.176056338028169, fold frequency: 0.5
 check frequency: 0.06993006993006994, call frequency: 0.2517482517482518, raise frequency: 0.17482517482517482, fold frequency: 0.5034965034965035
 check frequency: 0.06944444444444445, call frequency: 0.2569444444444444, raise frequency: 0.1736111111111111, fold frequency: 0.5
 check frequency: 0.06896551724137931, call frequency: 0.2620689655172414, raise frequency: 0.1724137931034483, fold frequency: 0.496551724137931
 check frequency: 0.0684931506849315, call frequency: 0.2671232876712329, raise frequency: 0.17123287671232876, fold frequency: 0.4931506849315068
 check frequency: 0.06802721088435375, call frequency: 0.2653061224489796, raise frequency: 0.17687074829931973, fold frequency: 0.4897959183673469
 check frequency: 0.06756756756756757, call frequency: 0.2635135135135135, raise frequency: 0.17567567567567569, fold frequency: 0.49324324324324326
 check frequency: 0.06711409395973154, call frequency: 0.26174496644295303, raise frequency: 0.174496644295302, fold frequency: 0.4966442953020134
 check frequency: 0.06666666666666667, call frequency: 0.26, raise frequency: 0.17333333333333334, fold frequency: 0.5
 check frequency: 0.06622516556291391, call frequency: 0.2582781456953642, raise frequency: 0.17218543046357615, fold frequency: 0.5033112582781457
 check frequency: 0.06578947368421052, call frequency: 0.2565789473684211, raise frequency: 0.17105263157894737, fold frequency: 0.506578947368421
 check frequency: 0.06535947712418301, call frequency: 0.2549019607843137, raise frequency: 0.17647058823529413, fold frequency: 0.5032679738562091
 check frequency: 0.06493506493506493, call frequency: 0.2597402597402597, raise frequency: 0.17532467532467533, fold frequency: 0.5
 check frequency: 0.06451612903225806, call frequency: 0.25806451612903225, raise frequency: 0.17419354838709677, fold frequency: 0.5032258064516129
 check frequency: 0.0641025641025641, call frequency: 0.2564102564102564, raise frequency: 0.17307692307692307, fold frequency: 0.5064102564102564
 check frequency: 0.06369426751592357, call frequency: 0.2611464968152866, raise frequency: 0.17197452229299362, fold frequency: 0.5031847133757962
 check frequency: 0.06329113924050633, call frequency: 0.26582278481012656, raise frequency: 0.17088607594936708, fold frequency: 0.5
 check frequency: 0.06289308176100629, call frequency: 0.27044025157232704, raise frequency: 0.16981132075471697, fold frequency: 0.4968553459119497
 check frequency: 0.06875, call frequency: 0.26875, raise frequency: 0.16875, fold frequency: 0.49375
