
 check frequency: 0, call frequency: 1, raise frequency: 0, fold frequency: 0
 check frequency: 0.15873015873015872, call frequency: 0.38095238095238093, raise frequency: 0.20634920634920634, fold frequency: 0.25396825396825395
 check frequency: 0.15789473684210525, call frequency: 0.38421052631578945, raise frequency: 0.20526315789473684, fold frequency: 0.25263157894736843
 check frequency: 0.15706806282722513, call frequency: 0.387434554973822, raise frequency: 0.20418848167539266, fold frequency: 0.2513089005235602
 check frequency: 0.15625, call frequency: 0.3854166666666667, raise frequency: 0.203125, fold frequency: 0.2552083333333333
 check frequency: 0.15544041450777202, call frequency: 0.38341968911917096, raise frequency: 0.20207253886010362, fold frequency: 0.25906735751295334
 check frequency: 0.15463917525773196, call frequency: 0.38144329896907214, raise frequency: 0.20618556701030927, fold frequency: 0.25773195876288657
 check frequency: 0.15897435897435896, call frequency: 0.37948717948717947, raise frequency: 0.20512820512820512, fold frequency: 0.2564102564102564
 check frequency: 0.15816326530612246, call frequency: 0.37755102040816324, raise frequency: 0.20918367346938777, fold frequency: 0.25510204081632654
 check frequency: 0.15736040609137056, call frequency: 0.3756345177664975, raise frequency: 0.20812182741116753, fold frequency: 0.25888324873096447
 check frequency: 0.15656565656565657, call frequency: 0.3787878787878788, raise frequency: 0.20707070707070707, fold frequency: 0.25757575757575757
 check frequency: 0.15577889447236182, call frequency: 0.38190954773869346, raise frequency: 0.20603015075376885, fold frequency: 0.2562814070351759
 check frequency: 0.155, call frequency: 0.385, raise frequency: 0.205, fold frequency: 0.255
 check frequency: 0.15422885572139303, call frequency: 0.38308457711442784, raise frequency: 0.208955223880597, fold frequency: 0.2537313432835821
 check frequency: 0.15841584158415842, call frequency: 0.3811881188118812, raise frequency: 0.2079207920792079, fold frequency: 0.2524752475247525
 check frequency: 0.1625615763546798, call frequency: 0.3793103448275862, raise frequency: 0.20689655172413793, fold frequency: 0.2512315270935961
 check frequency: 0.16176470588235295, call frequency: 0.37745098039215685, raise frequency: 0.2107843137254902, fold frequency: 0.25
 check frequency: 0.16097560975609757, call frequency: 0.3804878048780488, raise frequency: 0.2097560975609756, fold frequency: 0.24878048780487805
 check frequency: 0.16019417475728157, call frequency: 0.3786407766990291, raise frequency: 0.2087378640776699, fold frequency: 0.2524271844660194
 check frequency: 0.15942028985507245, call frequency: 0.37681159420289856, raise frequency: 0.20772946859903382, fold frequency: 0.2560386473429952
 check frequency: 0.15865384615384615, call frequency: 0.3798076923076923, raise frequency: 0.20673076923076922, fold frequency: 0.2548076923076923
 check frequency: 0.15789473684210525, call frequency: 0.3827751196172249, raise frequency: 0.20574162679425836, fold frequency: 0.2535885167464115
 check frequency: 0.15714285714285714, call frequency: 0.38571428571428573, raise frequency: 0.20476190476190476, fold frequency: 0.2523809523809524
 check frequency: 0.15639810426540285, call frequency: 0.3886255924170616, raise frequency: 0.2037914691943128, fold frequency: 0.25118483412322273
 check frequency: 0.15566037735849056, call frequency: 0.3867924528301887, raise frequency: 0.20754716981132076, fold frequency: 0.25
 check frequency: 0.15492957746478872, call frequency: 0.38497652582159625, raise frequency: 0.20657276995305165, fold frequency: 0.2535211267605634
 check frequency: 0.1542056074766355, call frequency: 0.38317757009345793, raise frequency: 0.2102803738317757, fold frequency: 0.2523364485981308
 check frequency: 0.15348837209302327, call frequency: 0.3813953488372093, raise frequency: 0.21395348837209302, fold frequency: 0.25116279069767444
